User Id,Gameplays,Deposits,Withdrawals,LoyaltyPoints
394,55,17.0,0.0,635.0
395,8,5.0,0.0,105.0
396,29,5.0,1.0,313.0
397,54,16.0,2.0,616.0
398,133,1.0,0.0,1335.0
399,516,10.0,0.0,5210.0
400,43,23.0,2.0,541.0
401,969,1.0,2.0,9691.0
402,59,7.0,2.0,621.0
403,67,6.0,2.0,696.0
404,5,6.0,0.0,80.0
405,83,1.0,1.0,833.0
406,8,4.0,0.0,100.0
407,2535,43.0,28.0,25509.0
408,1,39.0,2.0,201.0
409,17,23.0,2.0,281.0
410,48,1.0,0.0,485.0
411,195,3.0,1.0,1963.0
412,340,21.0,29.0,3447.0
413,9,2.0,1.0,98.0
414,10,8.0,0.0,140.0
415,26,6.0,6.0,278.0
416,32,6.0,0.0,350.0
417,411,15.0,8.0,4169.0
418,1641,2.0,2.0,16416.0
419,153,0.0,2.0,1526.0
420,163,29.0,5.0,1765.0
421,1557,99.0,84.0,15897.0
422,1,12.0,16.0,38.0
423,9,8.0,0.0,130.0
424,762,57.0,0.0,7905.0
425,41,2.0,0.0,420.0
426,145,57.0,0.0,1735.0
427,9,6.0,0.0,120.0
428,1,16.0,2.0,86.0
429,49,31.0,0.0,645.0
430,32,8.0,3.0,354.0
431,177,25.0,0.0,1895.0
432,29,6.0,0.0,320.0
433,14,4.0,3.0,154.0
434,22,4.0,0.0,240.0
435,1,0.0,10.0,-10.0
436,1851,35.0,0.0,18685.0
437,80,2.0,1.0,808.0
438,1,2.0,1.0,18.0
439,336,21.0,4.0,3457.0
440,55,6.0,9.0,562.0
441,35,4.0,7.0,356.0
442,1145,2.0,2.0,11456.0
443,213,13.0,0.0,2195.0
444,18,2.0,0.0,190.0
445,135,30.0,3.0,1494.0
446,61,22.0,4.0,712.0
447,29,0.0,0.0,290.0
448,1051,27.0,27.0,10591.0
449,6300,13.0,4.0,63057.0
450,428,92.0,1.0,4738.0
451,269,4.0,0.0,2710.0
452,556,28.0,0.0,5700.0
453,13,3.0,1.0,143.0
454,18,6.0,1.0,208.0
455,374,43.0,0.0,3955.0
456,5425,4.0,1.0,54268.0
457,8,1.0,1.0,83.0
458,2190,69.0,0.0,22245.0
459,6,1.0,1.0,63.0
460,693,0.0,2.0,6926.0
461,4,31.0,5.0,185.0
462,8,3.0,0.0,95.0
463,3,3.0,1.0,43.0
464,439,10.0,8.0,4424.0
465,8,5.0,0.0,105.0
466,6,14.0,0.0,130.0
467,132,28.0,2.0,1456.0
468,66,2.0,7.0,656.0
469,54,2.0,0.0,550.0
470,3,2.0,1.0,38.0
471,133,3.0,19.0,1307.0
472,5,5.0,2.0,71.0
473,325,53.0,9.0,3497.0
474,139,15.0,21.0,1423.0
475,2,3.0,0.0,35.0
476,36,16.0,1.0,438.0
477,327,12.0,4.0,3322.0
478,9,5.0,2.0,111.0
479,148,5.0,0.0,1505.0
480,8,2.0,2.0,86.0
481,168,1.0,0.0,1685.0
482,81,4.0,0.0,830.0
483,5,5.0,4.0,67.0
484,16,17.0,0.0,245.0
485,75,5.0,1.0,773.0
486,14,6.0,0.0,170.0
487,892,11.0,4.0,8967.0
488,477,47.0,2.0,5001.0
489,30,4.0,0.0,320.0
490,20,0.0,0.0,200.0
491,5,4.0,0.0,70.0
492,420,19.0,0.0,4295.0
493,5,8.0,2.0,86.0
494,314,1.0,0.0,3145.0
495,5,4.0,0.0,70.0
496,1034,36.0,2.0,10516.0
497,355,45.0,12.0,3751.0
498,10,15.0,0.0,175.0
499,8,5.0,1.0,103.0
500,6,27.0,1.0,193.0
501,14,20.0,0.0,240.0
502,4494,111.0,33.0,45429.0
503,197,7.0,0.0,2005.0
504,43,0.0,1.0,428.0
505,2308,60.0,2.0,23376.0
506,72,1.0,1.0,723.0
507,2,0.0,0.0,20.0
508,206,35.0,17.0,2201.0
509,227,0.0,14.0,2242.0
510,93,20.0,0.0,1030.0
511,11,1.0,0.0,115.0
512,16,1.0,0.0,165.0
513,13,33.0,0.0,295.0
514,72,61.0,1.0,1023.0
515,413,14.0,6.0,4188.0
516,14,16.0,3.0,214.0
517,830,12.0,10.0,8340.0
518,156,48.0,44.0,1712.0
519,1980,57.0,0.0,20085.0
520,26,5.0,0.0,285.0
521,47,1.0,3.0,469.0
522,183,2.0,0.0,1840.0
523,51,11.0,4.0,557.0
524,407,0.0,0.0,4070.0
525,520,47.0,0.0,5435.0
526,65,50.0,0.0,900.0
527,36,1.0,0.0,365.0
528,24,1.0,0.0,245.0
529,2,6.0,0.0,50.0
530,14,18.0,3.0,224.0
531,68,0.0,0.0,680.0
532,92,27.0,8.0,1039.0
533,54,5.0,0.0,565.0
534,24,10.0,0.0,290.0
535,517,24.0,0.0,5290.0
536,36,19.0,14.0,427.0
537,13,5.0,1.0,153.0
538,29,27.0,1.0,423.0
539,13,55.0,1.0,403.0
540,2247,4.0,6.0,22478.0
541,45,17.0,8.0,519.0
542,345,5.0,7.0,3461.0
543,1,1.0,0.0,15.0
544,374,23.0,0.0,3855.0
545,33,0.0,0.0,330.0
546,1,2.0,0.0,20.0
547,1248,41.0,14.0,12657.0
548,31,143.0,14.0,997.0
549,32,2.0,1.0,328.0
550,264,1.0,3.0,2639.0
551,17,1.0,0.0,175.0
552,22,1.0,0.0,225.0
553,17,28.0,9.0,292.0
554,62,8.0,4.0,652.0
555,429,3.0,1.0,4303.0
556,32,1.0,0.0,325.0
557,938,60.0,1.0,9678.0
558,49,12.0,8.0,534.0
559,958,4.0,12.0,9576.0
560,6,61.0,2.0,361.0
561,30,12.0,0.0,360.0
562,121,10.0,1.0,1258.0
563,21,31.0,0.0,365.0
564,647,2.0,3.0,6474.0
565,1312,70.0,34.0,13402.0
566,183,53.0,3.0,2089.0
567,257,22.0,5.0,2670.0
568,20,6.0,0.0,230.0
569,38,23.0,0.0,495.0
570,36,12.0,1.0,418.0
571,274,15.0,5.0,2805.0
572,6,8.0,1.0,98.0
573,64,20.0,0.0,740.0
574,211,17.0,4.0,2187.0
575,51,3.0,0.0,525.0
576,137,13.0,0.0,1435.0
577,269,11.0,1.0,2743.0
578,18,13.0,0.0,245.0
579,28,0.0,0.0,280.0
580,324,2.0,4.0,3242.0
581,1580,7.0,3.0,15829.0
582,3820,0.0,0.0,38200.0
583,11,11.0,4.0,157.0
584,69,1.0,0.0,695.0
585,199,0.0,0.0,1990.0
586,80,38.0,3.0,984.0
587,734,89.0,8.0,7769.0
588,71,21.0,1.0,813.0
589,6,0.0,0.0,60.0
590,12,0.0,0.0,120.0
591,69,0.0,0.0,690.0
592,5,15.0,2.0,121.0
593,1,1.0,0.0,15.0
594,2,1.0,1.0,23.0
595,8,0.0,0.0,80.0
596,13,2.0,0.0,140.0
597,363,34.0,7.0,3786.0
598,164,8.0,3.0,1674.0
599,9,110.0,13.0,614.0
600,78,24.0,0.0,900.0
601,33,23.0,1.0,443.0
602,3676,10.0,9.0,36792.0
603,9,5.0,0.0,115.0
604,1468,80.0,3.0,15074.0
605,156,49.0,0.0,1805.0
606,368,0.0,0.0,3680.0
607,428,25.0,0.0,4405.0
608,187,35.0,0.0,2045.0
609,53,1.0,0.0,535.0
610,7,2.0,0.0,80.0
611,728,0.0,1.0,7278.0
612,1543,53.0,8.0,15679.0
613,31,78.0,1.0,698.0
614,21,87.0,1.0,643.0
615,17,6.0,6.0,188.0
616,49,1.0,1.0,493.0
617,3,1.0,0.0,35.0
618,7084,143.0,5.0,71545.0
619,2,13.0,0.0,85.0
620,381,3.0,1.0,3823.0
621,66,5.0,0.0,685.0
622,56,20.0,0.0,660.0
623,7,7.0,0.0,105.0
624,42,2.0,0.0,430.0
625,23,23.0,28.0,289.0
626,39,2.0,0.0,400.0
627,160,3.0,3.0,1609.0
628,788,42.0,7.0,8076.0
629,9,1.0,0.0,95.0
630,31,7.0,0.0,345.0
631,3,4.0,0.0,50.0
632,244,54.0,0.0,2710.0
633,425,51.0,12.0,4481.0
634,24,8.0,67.0,146.0
635,299,14.0,0.0,3060.0
636,805,10.0,0.0,8100.0
637,5,109.0,19.0,557.0
638,1,12.0,0.0,70.0
639,28,16.0,1.0,358.0
640,315,5.0,0.0,3175.0
641,597,32.0,0.0,6130.0
642,31,2.0,0.0,320.0
643,2,0.0,0.0,20.0
644,343,120.0,0.0,4030.0
645,286,5.0,0.0,2885.0
646,659,4.0,2.0,6606.0
647,47,24.0,0.0,590.0
648,3,15.0,7.0,91.0
649,522,7.0,6.0,5243.0
650,3,2.0,1.0,38.0
651,715,23.0,0.0,7265.0
652,68,11.0,0.0,735.0
653,692,13.0,12.0,6961.0
654,998,67.0,12.0,10291.0
655,3,7.0,1.0,63.0
656,18,8.0,0.0,220.0
657,274,3.0,6.0,2743.0
658,841,40.0,0.0,8610.0
659,1159,6.0,6.0,11608.0
660,2,9.0,4.0,57.0
661,1,4.0,0.0,30.0
662,44,6.0,3.0,464.0
663,6401,52.0,35.0,64200.0
664,40,2.0,7.0,396.0
665,21,6.0,0.0,240.0
666,96,4.0,6.0,968.0
667,299,56.0,10.0,3250.0
668,1152,25.0,4.0,11637.0
669,99,2.0,0.0,1000.0
670,92,8.0,2.0,956.0
671,653,0.0,0.0,6530.0
672,10,35.0,5.0,265.0
673,372,42.0,1.0,3928.0
674,75,1.0,0.0,755.0
675,639,50.0,1.0,6638.0
676,286,16.0,1.0,2938.0
677,674,35.0,4.0,6907.0
678,12,22.0,1.0,228.0
679,453,4.0,1.0,4548.0
680,2,7.0,0.0,55.0
681,8,65.0,1.0,403.0
682,25,11.0,1.0,303.0
683,2,7.0,0.0,55.0
684,9,28.0,1.0,228.0
685,9,8.0,0.0,130.0
686,17,5.0,0.0,195.0
687,1675,43.0,0.0,16965.0
688,159,0.0,16.0,1558.0
689,108,16.0,3.0,1154.0
690,1,39.0,1.0,203.0
691,11,7.0,10.0,125.0
692,2,5.0,0.0,45.0
693,1184,5.0,2.0,11861.0
694,133,30.0,1.0,1478.0
695,197,73.0,0.0,2335.0
696,7,3.0,0.0,85.0
697,9,0.0,0.0,90.0
698,24,4.0,0.0,260.0
699,1680,27.0,10.0,16915.0
700,23,9.0,0.0,275.0
701,46,2.0,0.0,470.0
702,4,1.0,0.0,45.0
703,1,3.0,0.0,25.0
704,32,1.0,0.0,325.0
705,10,5.0,0.0,125.0
706,56,0.0,0.0,560.0
707,5,11.0,3.0,99.0
708,34,54.0,0.0,610.0
709,287,6.0,1.0,2898.0
710,3032,3.0,2.0,30331.0
711,13,3.0,0.0,145.0
712,22,1.0,0.0,225.0
713,301,3.0,4.0,3017.0
714,6,34.0,0.0,230.0
715,2,1.0,1.0,23.0
716,50,12.0,2.0,556.0
717,341,52.0,2.0,3666.0
718,16,10.0,0.0,210.0
719,97,19.0,0.0,1065.0
720,4,20.0,3.0,134.0
721,837,4.0,2.0,8386.0
722,3340,14.0,0.0,33470.0
723,1,10.0,3.0,54.0
724,174,33.0,0.0,1905.0
725,37,0.0,1.0,368.0
726,20,10.0,1.0,248.0
727,59,4.0,0.0,610.0
728,3,5.0,3.0,49.0
729,10,6.0,0.0,130.0
730,757,9.0,0.0,7615.0
731,78,43.0,5.0,985.0
732,67,13.0,0.0,735.0
733,12,10.0,1.0,168.0
734,264,9.0,0.0,2685.0
735,98,15.0,0.0,1055.0
736,3,1.0,2.0,31.0
737,33,15.0,0.0,405.0
738,4405,0.0,0.0,44050.0
739,9,8.0,3.0,124.0
740,2,91.0,7.0,461.0
741,19,1.0,0.0,195.0
742,6,4.0,1.0,78.0
743,94,3.0,0.0,955.0
744,579,129.0,1.0,6433.0
745,911,44.0,2.0,9326.0
746,141,6.0,0.0,1440.0
747,34,11.0,0.0,395.0
748,2341,13.0,3.0,23469.0
749,35,29.0,2.0,491.0
750,589,23.0,0.0,6005.0
751,20,11.0,4.0,247.0
752,54,1.0,2.0,541.0
753,1205,2.0,2.0,12056.0
754,5702,24.0,22.0,57096.0
755,12,3.0,0.0,135.0
756,3,2.0,0.0,40.0
757,12,0.0,0.0,120.0
758,433,22.0,2.0,4436.0
759,199,30.0,1.0,2138.0
760,2,12.0,10.0,60.0
761,6,1.0,0.0,65.0
762,81,9.0,4.0,847.0
763,621,44.0,15.0,6400.0
764,27,7.0,0.0,305.0
765,24096,0.0,3.0,240954.0
766,30,14.0,5.0,360.0
767,79,1.0,1.0,793.0
768,120,1.0,0.0,1205.0
769,104,1.0,0.0,1045.0
770,124,1.0,0.0,1245.0
771,6,0.0,0.0,60.0
772,111,12.0,1.0,1168.0
773,2,7.0,3.0,49.0
774,1625,2.0,6.0,16248.0
775,314,3.0,2.0,3151.0
776,105,82.0,1.0,1458.0
777,886,58.0,1.0,9148.0
778,2,2.0,0.0,30.0
779,892,79.0,1.0,9313.0
780,2,3.0,0.0,35.0
781,4,3.0,0.0,55.0
782,8,0.0,0.0,80.0
783,709,41.0,0.0,7295.0
784,98,19.0,10.0,1055.0
785,200,0.0,4.0,1992.0
786,7,27.0,11.0,183.0
787,13,1.0,0.0,135.0
788,43,16.0,7.0,496.0
789,11,7.0,0.0,145.0
790,238,61.0,22.0,2641.0
791,38,4.0,0.0,400.0
792,15,7.0,2.0,181.0
793,51,0.0,0.0,510.0
794,399,11.0,0.0,4045.0
